DEBUG 2026-05-10 01:13:17,781 selector_events 4092 328 Using selector: SelectSelector
DEBUG 2026-05-10 01:13:23,948 selector_events 9736 9004 Using selector: SelectSelector
DEBUG 2026-05-10 01:14:36,317 selector_events 7296 22536 Using selector: SelectSelector
DEBUG 2026-05-10 01:14:44,289 selector_events 13132 23512 Using selector: SelectSelector
DEBUG 2026-05-10 01:16:13,108 selector_events 11180 11696 Using selector: SelectSelector
DEBUG 2026-05-10 01:18:30,149 selector_events 11828 19172 Using selector: SelectSelector
DEBUG 2026-05-10 01:23:22,155 selector_events 20124 9664 Using selector: SelectSelector
DEBUG 2026-05-10 01:25:03,268 selector_events 23520 17160 Using selector: SelectSelector
DEBUG 2026-05-10 01:25:29,879 selector_events 12144 10208 Using selector: SelectSelector
DEBUG 2026-05-10 01:26:05,225 selector_events 9760 8708 Using selector: SelectSelector
DEBUG 2026-05-10 01:31:48,981 selector_events 23756 3028 Using selector: SelectSelector
DEBUG 2026-05-10 01:32:09,407 selector_events 19512 19092 Using selector: SelectSelector
DEBUG 2026-05-10 01:35:33,479 selector_events 9488 8916 Using selector: SelectSelector
DEBUG 2026-05-10 01:35:50,100 selector_events 7560 19648 Using selector: SelectSelector
DEBUG 2026-05-10 01:36:39,706 selector_events 17768 20008 Using selector: SelectSelector
DEBUG 2026-05-10 01:36:43,869 selector_events 21824 22328 Using selector: SelectSelector
INFO 2026-05-10 01:36:47,193 autoreload 21824 22328 Watching for file changes with StatReloader
INFO 2026-05-10 01:36:49,614 server 21824 19144 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-05-10 01:36:49,616 server 21824 19144 Configuring endpoint tcp:port=8000:interface=127.0.0.1
INFO 2026-05-10 01:36:49,618 server 21824 19144 Listening on TCP address 127.0.0.1:8000
DEBUG 2026-05-10 01:45:13,345 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,710 http_protocol 21824 19144 HTTP 302 response started for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,713 http_protocol 21824 19144 HTTP close for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,715 http_protocol 21824 19144 HTTP response complete for ['127.0.0.1', 64122]
INFO 2026-05-10 01:45:13,718 runserver 21824 19144 [32mHTTP GET /admin/ 302 [0.38, 127.0.0.1:64122][0m
DEBUG 2026-05-10 01:45:13,741 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,979 http_protocol 21824 19144 HTTP 200 response started for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,981 http_protocol 21824 19144 HTTP close for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:13,982 http_protocol 21824 19144 HTTP response complete for ['127.0.0.1', 64122]
INFO 2026-05-10 01:45:13,983 runserver 21824 19144 [mHTTP GET /admin/login/?next=/admin/ 200 [0.24, 127.0.0.1:64122][0m
DEBUG 2026-05-10 01:45:14,169 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 64122]
DEBUG 2026-05-10 01:45:14,288 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 64763]
DEBUG 2026-05-10 01:45:14,293 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 60477]
DEBUG 2026-05-10 01:45:14,305 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 50570]
DEBUG 2026-05-10 01:45:14,333 http_protocol 21824 19144 HTTP b'GET' request for ['127.0.0.1', 56767]
